Name	March	April
a1sth-c1sth-phy1	585653	594813
a1sth-c1sth-phy2	580092	584879
a1sth-c1sth-phy3	574646	586104
a1sth-c2sth-phy1	62994	44784
a1sth-c2sth-phy2	74462	48978
a1sth-c2sth-phy3	88777	51163
a1sth-c2sth-phy4	64547	43764
a2sth-c1sth	410939	414887
a2sth-c1sth-phy3	140344	138537
a2sth-c2sth	95293	91034
a3sth-c1sth-phy1	123891	108275
a3sth-c1sth-phy2	116683	109350
a3sth-c1sth-phy3	121411	109675
a3sth-c1sth-phy4	126459	111309
a3sth-c2sth	116640	110659
bth-r	57214	64598
bth-r-3	56076	63425
bth-sunet-3	161420	185332
c1sth-a1sth	526323	518734
c1sth-a1sth-phy1	116933	125175
c1sth-a1sth-phy2	154823	131534
c1sth-a1sth-phy3	133789	134369
c1sth-a1sth-phy4	120767	127647
c1sth-a2sth-phy1	46566	26290
c1sth-a2sth-phy2	45675	25634
c1sth-a2sth-phy3	45001	28062
c1sth-a3sth	125955	107392
c1sth-c2sth-phy1	301956	324313
c1sth-c2sth-phy2	291505	318723
c1sth-tugcust	141570	145457
c2sth-a1sth	603746	617378
c2sth-a1sth-phy1	150259	154693
c2sth-a1sth-phy2	150988	156092
c2sth-a1sth-phy3	151863	153882
c2sth-a1sth-phy4	150623	152698
c2sth-a2sth-phy1	74054	49568
c2sth-a2sth-phy2	77032	51785
c2sth-a2sth-phy3	80205	50359
c2sth-a3sth	233716	238163
c2sth-a3sth-phy1	58993	58857
c2sth-a3sth-phy2	58742	59521
c2sth-a3sth-phy3	57627	58894
c2sth-c1sth	185227	194963
c2sth-c1sth-phy1	100741	84937
cth-sunet-2	39518	20621
ki-g	35951	33502
kth-g	118074	120474
kth-g-1	78749	84193
liu-g	69264	60379
liu-g-1	69264	60379
liu-sunet-1	98885	111729
ltu-g	287830	290282
ltu-g-2	63686	53520
lu-g	48829	45836
mdh-g	85111	101165
mdh-r	38425	28593
su-g	42217	39524
su-sunet-1	39483	38000
sunet-bredband	429546	430561
sunet-bth-4	33839	37736
sunet-hb-g	39742	38357
sunet-his-g	74710	71462
sunet-ki-g-1	35951	33502
sunet-kth-1	41654	52284
sunet-kth-2	37123	31945
sunet-liu-1	47420	38583
sunet-ltu-1	92369	82653
sunet-ltu-2	195547	207712
sunet-lu-g-1	48829	45836
sunet-netnod-a	376519	351474
