sunet-nordunet4	a1sth-c1sth	umu-g	C4
2732746	2484918	202499	
2759333	2522909	253248	
2624490	2392994	367358	
2577236	2222532	322321	
2540926	2021802	225493	
2479859	1980138	225324	
2608857	2198253	169292	
2846456	2420977	225822	
2786401	2425676	224784	
2595764	2174969	292888	
2666511	2238555	267888	
2655511	2066270	251560	
2615932	2028776	168725	
2728243	2266341	169222	
2738872	2396096	257303	
2741871	2389817	248818	
3088923	2698321	191228	
2925069	2476589	183687	
2860531	2315844	142865	
2714534	2239771	144923	
2761659	2342518	174202	
2776274	2420568	210813	
2763537	2377469	197776	
3250208	2944496	191112	
2852643	2264869	129439	
2529686	2109527	115785	
2520195	2039179	133324	
2921779	2443737	170640	
3009739	2557395	191930	
2640628	2228051	161947	
